Clock on the Square, 							38784120, -90782122, 0		
Yates Bench, 									38783637, -90782185, 0
Blue Star Memorial, 							38782768, -90782202, 0
Zachary Weikart Bench, 							38783371, -90781941, 0
Czech Case Bruce and McDaniel Memorial Bench,	38782792, -90781863, 0
Gazebo on the Lake, 							38783921, -90781643, 0
Valerie Peimann Memorial, 						38782727, -90781208, 0
Ken Maki Memorial, 								38784177, -90781452, 0
Doby Winterer Memorial, 						38784044, -90781208, 0
Unless, 										38784259, -90781137, 0
A Bid at Immortality, 							38783750, -90781016, 0
Sastry Memorial, 								38783570, -90781038, 0
Boulevard Park Foot Bridge, 					38783604, -90780579, 0
Patriotic Tree, 								38782892, -90780525, 0
Roots Du Souvenir, 								38783920, -90780094, 0
Boulevard park, 								38784158, -90780049, 0
Jody Dommermuth Memorial, 						38783439, -90780080, 0
Kyfus Memorial, 								38783162, -90780262, 0
Dr Tony Sastry Benchmark in Boulevard Park, 	38783118, -90779806, 0
Boulevard Park Pavilion, 						38782960, -90779262, 0
Blue Bench of Boulevard Park, 					38783022, -90779009, 0
Boulevard Park Rain Garden, 					38783491, -90778988, 0
Boulevard Park Bioretention Area, 				38783500, -90778548, 0
Lake St Louis Service Memorial, 				38784259, -90779112, 0